GEOID,NAME,variable,estimate,moe,Year
13215,"Muscogee County, Georgia",B01003_001,204366,NA,2021
13217,"Newton County, Georgia",B01003_001,111262,NA,2021
13219,"Oconee County, Georgia",B01003_001,41006,NA,2021
13221,"Oglethorpe County, Georgia",B01003_001,14779,NA,2021
13223,"Paulding County, Georgia",B01003_001,165688,NA,2021
13225,"Peach County, Georgia",B01003_001,27822,NA,2021
13227,"Pickens County, Georgia",B01003_001,32814,NA,2021
13229,"Pierce County, Georgia",B01003_001,19644,NA,2021
13231,"Pike County, Georgia",B01003_001,18754,NA,2021
13233,"Polk County, Georgia",B01003_001,42692,NA,2021
13235,"Pulaski County, Georgia",B01003_001,10001,NA,2021
13237,"Putnam County, Georgia",B01003_001,21870,NA,2021
13239,"Quitman County, Georgia",B01003_001,2249,251,2021
13241,"Rabun County, Georgia",B01003_001,16731,NA,2021
13243,"Randolph County, Georgia",B01003_001,6503,NA,2021
13245,"Richmond County, Georgia",B01003_001,205772,NA,2021
13247,"Rockdale County, Georgia",B01003_001,92983,NA,2021
13249,"Schley County, Georgia",B01003_001,4622,NA,2021
13251,"Screven County, Georgia",B01003_001,14028,NA,2021
13253,"Seminole County, Georgia",B01003_001,9108,NA,2021
13255,"Spalding County, Georgia",B01003_001,66722,NA,2021
13257,"Stephens County, Georgia",B01003_001,26641,NA,2021
13259,"Stewart County, Georgia",B01003_001,5347,NA,2021
13261,"Sumter County, Georgia",B01003_001,29690,NA,2021
13263,"Talbot County, Georgia",B01003_001,5837,NA,2021
13265,"Taliaferro County, Georgia",B01003_001,1574,249,2021
13267,"Tattnall County, Georgia",B01003_001,23211,NA,2021
13269,"Taylor County, Georgia",B01003_001,7857,NA,2021
13271,"Telfair County, Georgia",B01003_001,12860,NA,2021
13273,"Terrell County, Georgia",B01003_001,9102,NA,2021
13275,"Thomas County, Georgia",B01003_001,45669,NA,2021
13277,"Tift County, Georgia",B01003_001,41148,NA,2021
13279,"Toombs County, Georgia",B01003_001,26956,NA,2021
13281,"Towns County, Georgia",B01003_001,12300,NA,2021
13283,"Treutlen County, Georgia",B01003_001,6410,NA,2021
13285,"Troup County, Georgia",B01003_001,69483,NA,2021
13287,"Turner County, Georgia",B01003_001,8856,NA,2021
13289,"Twiggs County, Georgia",B01003_001,8034,NA,2021
13291,"Union County, Georgia",B01003_001,24183,NA,2021
13293,"Upson County, Georgia",B01003_001,27424,NA,2021
13295,"Walker County, Georgia",B01003_001,67772,NA,2021
13297,"Walton County, Georgia",B01003_001,95453,NA,2021
13299,"Ware County, Georgia",B01003_001,36084,NA,2021
13301,"Warren County, Georgia",B01003_001,5218,NA,2021
13303,"Washington County, Georgia",B01003_001,20052,NA,2021
13305,"Wayne County, Georgia",B01003_001,30118,NA,2021
13307,"Webster County, Georgia",B01003_001,2372,NA,2021
13309,"Wheeler County, Georgia",B01003_001,7568,NA,2021
13311,"White County, Georgia",B01003_001,27886,NA,2021
13313,"Whitfield County, Georgia",B01003_001,103076,NA,2021
13315,"Wilcox County, Georgia",B01003_001,8841,NA,2021
13317,"Wilkes County, Georgia",B01003_001,9643,NA,2021
13319,"Wilkinson County, Georgia",B01003_001,8931,NA,2021
13321,"Worth County, Georgia",B01003_001,20824,NA,2021
