Smoothing,Measure,E,Test,value
Obs,PPV,0.5,Besag-Newell (1991),NA
Obs,PPV,0.5,Kulldorff (1997),0.9841208791208791
Obs,PPV,1,Turnbull (1990),1
Obs,PPV,1,Besag-Newell (1991),NA
Obs,PPV,1,Kulldorff (1997),0.9957948717948718
Obs,PPV,1.5,Turnbull (1990),1
Obs,PPV,1.5,Besag-Newell (1991),NA
Obs,PPV,1.5,Kulldorff (1997),0.9955032467532468
Obs,PPV,2,Turnbull (1990),1
Obs,PPV,2,Besag-Newell (1991),NA
Obs,PPV,2,Kulldorff (1997),0.9981818181818182
Adj,PPV,0.5,Turnbull (1990),NA
Adj,PPV,0.5,Besag-Newell (1991),NA
Adj,PPV,0.5,Kulldorff (1997),NA
Adj,PPV,1,Turnbull (1990),0.8807053872053872
Adj,PPV,1,Besag-Newell (1991),NA
Adj,PPV,1,Kulldorff (1997),0.7808027799617556
Adj,PPV,1.5,Turnbull (1990),0.9631818181818181
Adj,PPV,1.5,Besag-Newell (1991),NA
Adj,PPV,1.5,Kulldorff (1997),0.782449057650296
Adj,PPV,2,Turnbull (1990),0.9707575757575757
Adj,PPV,2,Besag-Newell (1991),NA
Adj,PPV,2,Kulldorff (1997),0.7884400548282128
ID,PPV,0.5,Turnbull (1990),NA
ID,PPV,0.5,Besag-Newell (1991),NA
ID,PPV,0.5,Kulldorff (1997),NA
ID,PPV,1,Turnbull (1990),0.9345606060606061
ID,PPV,1,Besag-Newell (1991),NA
ID,PPV,1,Kulldorff (1997),0.8315670963288213
ID,PPV,1.5,Turnbull (1990),0.9945454545454545
ID,PPV,1.5,Besag-Newell (1991),NA
ID,PPV,1.5,Kulldorff (1997),0.8599700277699
ID,PPV,2,Turnbull (1990),0.995
ID,PPV,2,Besag-Newell (1991),NA
ID,PPV,2,Kulldorff (1997),0.8384839108260161
BYM,PPV,0.5,Turnbull (1990),NA
BYM,PPV,0.5,Besag-Newell (1991),NA
BYM,PPV,0.5,Kulldorff (1997),NA
BYM,PPV,1,Turnbull (1990),1
BYM,PPV,1,Besag-Newell (1991),NA
BYM,PPV,1,Kulldorff (1997),0.9973333333333333
BYM,PPV,1.5,Turnbull (1990),1
BYM,PPV,1.5,Besag-Newell (1991),NA
BYM,PPV,1.5,Kulldorff (1997),1
BYM,PPV,2,Turnbull (1990),1
BYM,PPV,2,Besag-Newell (1991),NA
BYM,PPV,2,Kulldorff (1997),1
Obs,NPV,0.5,Turnbull (1990),0.9215529411764706
Obs,NPV,0.5,Besag-Newell (1991),0.8899860067482518
Obs,NPV,0.5,Kulldorff (1997),0.9184360308728072
Obs,NPV,1,Turnbull (1990),0.9215686274509803
Obs,NPV,1,Besag-Newell (1991),0.8938335377551356
Obs,NPV,1,Kulldorff (1997),0.9304474742374342
Obs,NPV,1.5,Turnbull (1990),0.9215686274509803
Obs,NPV,1.5,Besag-Newell (1991),0.899267250162746
Obs,NPV,1.5,Kulldorff (1997),0.9372742944445731
Obs,NPV,2,Turnbull (1990),0.9215686274509803
Obs,NPV,2,Besag-Newell (1991),0.9053555338423024
Obs,NPV,2,Kulldorff (1997),0.9439158469178777
Adj,NPV,0.5,Turnbull (1990),0.9137092413901781
Adj,NPV,0.5,Besag-Newell (1991),0.8880565910048563
Adj,NPV,0.5,Kulldorff (1997),0.9055791114531557
Adj,NPV,1,Turnbull (1990),0.9198582411105167
Adj,NPV,1,Besag-Newell (1991),0.8887039687879217
Adj,NPV,1,Kulldorff (1997),0.9166160794173009
Adj,NPV,1.5,Turnbull (1990),0.9210024714235076
Adj,NPV,1.5,Besag-Newell (1991),0.8945855132966076
Adj,NPV,1.5,Kulldorff (1997),0.9233710946575501
Adj,NPV,2,Turnbull (1990),0.9211749144547742
Adj,NPV,2,Besag-Newell (1991),0.8972004786161676
Adj,NPV,2,Kulldorff (1997),0.9313860761859643
ID,NPV,0.5,Turnbull (1990),0.9143220694932322
ID,NPV,0.5,Besag-Newell (1991),0.8889200856964096
ID,NPV,0.5,Kulldorff (1997),0.9067595955965558
ID,NPV,1,Turnbull (1990),0.9205318094968724
ID,NPV,1,Besag-Newell (1991),0.8894430771390447
ID,NPV,1,Kulldorff (1997),0.9192179371025793
ID,NPV,1.5,Turnbull (1990),0.9214745627980921
ID,NPV,1.5,Besag-Newell (1991),0.8960998689482258
ID,NPV,1.5,Kulldorff (1997),0.9247967397276834
ID,NPV,2,Turnbull (1990),0.9214257888585897
ID,NPV,2,Besag-Newell (1991),0.8969807488757044
ID,NPV,2,Kulldorff (1997),0.9318952195912824
BYM,NPV,0.5,Turnbull (1990),0.9208731039585645
BYM,NPV,0.5,Besag-Newell (1991),0.8867924528301887
BYM,NPV,0.5,Kulldorff (1997),0.9141337101329654
BYM,NPV,1,Turnbull (1990),0.9215686274509803
BYM,NPV,1,Besag-Newell (1991),0.8868485789347982
BYM,NPV,1,Kulldorff (1997),0.9184342544342642
BYM,NPV,1.5,Turnbull (1990),0.9215686274509803
BYM,NPV,1.5,Besag-Newell (1991),0.88797467593811
BYM,NPV,1.5,Kulldorff (1997),0.9250522944438608
BYM,NPV,2,Turnbull (1990),0.9215686274509803
BYM,NPV,2,Besag-Newell (1991),0.888826857643579
BYM,NPV,2,Kulldorff (1997),0.9369135974366386
Obs,EP,0.5,Turnbull (1990),0
Obs,EP,0.5,Besag-Newell (1991),0
Obs,EP,0.5,Kulldorff (1997),0
Obs,EP,1,Turnbull (1990),0
Obs,EP,1,Besag-Newell (1991),0
Obs,EP,1,Kulldorff (1997),0
Obs,EP,1.5,Turnbull (1990),0
Obs,EP,1.5,Besag-Newell (1991),0
Obs,EP,1.5,Kulldorff (1997),0
