Smoothing,Measure,E,Test,value
Obs,PPV,1.5,Turnbull (1990),0.5151702786377709
Obs,PPV,1.5,Besag-Newell (1991),NA
Obs,PPV,1.5,Kulldorff (1997),0.9451709401709402
Obs,PPV,2,Turnbull (1990),0.5263157894736842
Obs,PPV,2,Besag-Newell (1991),NA
Obs,PPV,2,Kulldorff (1997),0.9573809523809523
Adj,PPV,0.5,Turnbull (1990),NA
Adj,PPV,0.5,Besag-Newell (1991),NA
Adj,PPV,0.5,Kulldorff (1997),NA
Adj,PPV,1,Turnbull (1990),0.5105261557664303
Adj,PPV,1,Besag-Newell (1991),NA
Adj,PPV,1,Kulldorff (1997),NA
Adj,PPV,1.5,Turnbull (1990),0.5057980629322667
Adj,PPV,1.5,Besag-Newell (1991),NA
Adj,PPV,1.5,Kulldorff (1997),0.7803962703962704
Adj,PPV,2,Turnbull (1990),0.5235697940503432
Adj,PPV,2,Besag-Newell (1991),NA
Adj,PPV,2,Kulldorff (1997),0.8355632602691426
ID,PPV,0.5,Turnbull (1990),NA
ID,PPV,0.5,Besag-Newell (1991),NA
ID,PPV,0.5,Kulldorff (1997),NA
ID,PPV,1,Turnbull (1990),0.47000648982342347
ID,PPV,1,Besag-Newell (1991),NA
ID,PPV,1,Kulldorff (1997),NA
ID,PPV,1.5,Turnbull (1990),0.5066108365543014
ID,PPV,1.5,Besag-Newell (1991),NA
ID,PPV,1.5,Kulldorff (1997),0.8530885780885781
ID,PPV,2,Turnbull (1990),0.5172133231629799
ID,PPV,2,Besag-Newell (1991),NA
ID,PPV,2,Kulldorff (1997),0.9017027417027417
BYM,PPV,0.5,Turnbull (1990),NA
BYM,PPV,0.5,Besag-Newell (1991),NA
BYM,PPV,0.5,Kulldorff (1997),NA
BYM,PPV,1,Turnbull (1990),NA
BYM,PPV,1,Besag-Newell (1991),NA
BYM,PPV,1,Kulldorff (1997),NA
BYM,PPV,1.5,Turnbull (1990),0.5207430340557275
BYM,PPV,1.5,Besag-Newell (1991),NA
BYM,PPV,1.5,Kulldorff (1997),1
BYM,PPV,2,Turnbull (1990),0.5263157894736842
BYM,PPV,2,Besag-Newell (1991),NA
BYM,PPV,2,Kulldorff (1997),1
Obs,NPV,0.5,Turnbull (1990),0.9481913620607353
Obs,NPV,0.5,Besag-Newell (1991),0.9119496855345912
Obs,NPV,0.5,Kulldorff (1997),0.943188216117427
Obs,NPV,1,Turnbull (1990),0.9686913086913087
Obs,NPV,1,Besag-Newell (1991),0.9119496855345912
Obs,NPV,1,Kulldorff (1997),0.9656759041418213
Obs,NPV,1.5,Turnbull (1990),0.968692152917505
Obs,NPV,1.5,Besag-Newell (1991),0.9119496855345912
Obs,NPV,1.5,Kulldorff (1997),0.9672459598893987
Obs,NPV,2,Turnbull (1990),0.9714285714285714
Obs,NPV,2,Besag-Newell (1991),0.9136288288946122
Obs,NPV,2,Kulldorff (1997),0.975144642619303
Adj,NPV,0.5,Turnbull (1990),0.9392330157355238
Adj,NPV,0.5,Besag-Newell (1991),0.9119496855345912
Adj,NPV,0.5,Kulldorff (1997),0.9176529157257833
Adj,NPV,1,Turnbull (1990),0.9681492093021818
Adj,NPV,1,Besag-Newell (1991),0.9119496855345912
Adj,NPV,1,Kulldorff (1997),0.937772148567604
Adj,NPV,1.5,Turnbull (1990),0.976221363113655
Adj,NPV,1.5,Besag-Newell (1991),0.9119496855345912
Adj,NPV,1.5,Kulldorff (1997),0.9686840353498932
Adj,NPV,2,Turnbull (1990),0.9797478991596639
Adj,NPV,2,Besag-Newell (1991),0.9119496855345912
Adj,NPV,2,Kulldorff (1997),0.974209113414411
ID,NPV,0.5,Turnbull (1990),0.9408228552893815
ID,NPV,0.5,Besag-Newell (1991),0.9119496855345912
ID,NPV,0.5,Kulldorff (1997),0.921429918035887
ID,NPV,1,Turnbull (1990),0.9702746263587956
ID,NPV,1,Besag-Newell (1991),0.9119496855345912
