Smoothing,Measure,E,Test,value
Obs,PPV,0.5,Besag-Newell (1991),0.4418604651162791
Obs,PPV,0.5,Kulldorff (1997),0.6974358974358973
Obs,PPV,1,Turnbull (1990),0.5869731800766284
Obs,PPV,1,Besag-Newell (1991),0.5397292525014714
Obs,PPV,1,Kulldorff (1997),0.8618181818181818
Obs,PPV,1.5,Turnbull (1990),0.5393738140417458
Obs,PPV,1.5,Besag-Newell (1991),0.6358126721763087
Obs,PPV,1.5,Kulldorff (1997),0.908567314614831
Obs,PPV,2,Turnbull (1990),0.5055025678650037
Obs,PPV,2,Besag-Newell (1991),0.6984126984126985
Obs,PPV,2,Kulldorff (1997),0.9181879648411089
Adj,PPV,0.5,Turnbull (1990),0.47044334975369456
Adj,PPV,0.5,Besag-Newell (1991),0.4865951742627347
Adj,PPV,0.5,Kulldorff (1997),0.6549707602339181
Adj,PPV,1,Turnbull (1990),0.5239968528717546
Adj,PPV,1,Besag-Newell (1991),0.5540641312453394
Adj,PPV,1,Kulldorff (1997),0.6996951219512195
Adj,PPV,1.5,Turnbull (1990),0.5388174807197944
Adj,PPV,1.5,Besag-Newell (1991),0.5288412455334355
Adj,PPV,1.5,Kulldorff (1997),0.7207637231503581
Adj,PPV,2,Turnbull (1990),0.5123407643312102
Adj,PPV,2,Besag-Newell (1991),0.5287786616752457
Adj,PPV,2,Kulldorff (1997),0.7168458781362008
ID,PPV,0.5,Turnbull (1990),0.5378151260504203
ID,PPV,0.5,Besag-Newell (1991),0.49797570850202433
ID,PPV,0.5,Kulldorff (1997),0.6610169491525424
ID,PPV,1,Turnbull (1990),0.5554607508532423
ID,PPV,1,Besag-Newell (1991),0.5496481626270525
ID,PPV,1,Kulldorff (1997),0.7421875
ID,PPV,1.5,Turnbull (1990),0.5679347826086957
ID,PPV,1.5,Besag-Newell (1991),0.5317420010157441
ID,PPV,1.5,Kulldorff (1997),0.740924092409241
ID,PPV,2,Turnbull (1990),0.5266024298282362
ID,PPV,2,Besag-Newell (1991),0.5352380952380952
ID,PPV,2,Kulldorff (1997),0.7461204220980758
BYM,PPV,0.5,Turnbull (1990),0.9999999999999994
BYM,PPV,0.5,Besag-Newell (1991),1.0000000000000007
BYM,PPV,0.5,Kulldorff (1997),NA
BYM,PPV,1,Turnbull (1990),1.0000000000000002
BYM,PPV,1,Besag-Newell (1991),0.7100977198697069
BYM,PPV,1,Kulldorff (1997),1
BYM,PPV,1.5,Turnbull (1990),0.9003322259136213
BYM,PPV,1.5,Besag-Newell (1991),0.6718289085545722
BYM,PPV,1.5,Kulldorff (1997),0.9586056644880174
BYM,PPV,2,Turnbull (1990),0.5739540365350619
BYM,PPV,2,Besag-Newell (1991),0.6640483383685801
BYM,PPV,2,Kulldorff (1997),0.9184466019417478
Obs,NPV,0.5,Turnbull (1990),0.922166590805644
Obs,NPV,0.5,Besag-Newell (1991),0.9385844120077114
Obs,NPV,0.5,Kulldorff (1997),0.9208252740167635
Obs,NPV,1,Turnbull (1990),0.9497088043850634
Obs,NPV,1,Besag-Newell (1991),0.9589465530596437
Obs,NPV,1,Kulldorff (1997),0.9627027027027028
Obs,NPV,1.5,Turnbull (1990),0.9736803944315545
Obs,NPV,1.5,Besag-Newell (1991),0.9754348597799077
Obs,NPV,1.5,Kulldorff (1997),0.9835986493005308
Obs,NPV,2,Turnbull (1990),0.9907393350538941
Obs,NPV,2,Besag-Newell (1991),0.975038564016267
Obs,NPV,2,Kulldorff (1997),0.9901532487344845
Adj,NPV,0.5,Turnbull (1990),0.9155156834903834
Adj,NPV,0.5,Besag-Newell (1991),0.9249703048700014
Adj,NPV,0.5,Kulldorff (1997),0.9117553563481468
Adj,NPV,1,Turnbull (1990),0.9429899514662656
Adj,NPV,1,Besag-Newell (1991),0.9480046706504569
Adj,NPV,1,Kulldorff (1997),0.931710837050643
Adj,NPV,1.5,Turnbull (1990),0.967610175564314
Adj,NPV,1.5,Besag-Newell (1991),0.9667168782727207
